chemscore,photoperiod,uvperiod,par
-0.770417780741,18.0,18.0,636.916666667
0.21392095341200001,18.0,18.0,798.416666667
0.441263736528,18.0,18.0,832.583333333
0.46352047282799996,18.0,0.0,820.25
-0.6796444436300001,18.0,0.0,1098.75
0.331357061603,18.0,0.0,403.58333333300004
1.07107983449,21.5,9.0,867.333333333
-0.0072259565566699996,21.5,9.0,445.25
0.858303323279,21.5,9.0,735.416666667
-0.425700752764,14.5,9.0,636.916666667
-1.0673314424,14.5,9.0,798.416666667
-0.41743427246200004,18.0,0.0,820.25
-0.579084016448,18.0,0.0,1098.75
0.5673932828580001,18.0,0.0,403.58333333300004
